Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,DALIL,TPS 004,47,54,144,90,15,https://sirekap-obj-formc.kpu.go.id/a2d3/pemilu/ppwp/19/01/06/20/03/1901062003004-20240214-202435--bb999570-a223-4685-856e-1811a6bccd5b.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,AIR JUKUNG,TPS 002,213,221,68,107,37,https://sirekap-obj-formc.kpu.go.id/ee1d/pemilu/ppwp/19/01/02/10/02/1901021002002-20240214-191054--d982f18d-cc11-4ce5-96ca-0a7b462701d6.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,AIR JUKUNG,TPS 011,274,242,58,141,35,https://sirekap-obj-formc.kpu.go.id/4154/pemilu/ppwp/19/01/02/10/02/1901021002011-20240216-125315--91633be4-a9b3-4ef7-848a-4a3794cfcfc9.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,BELINYU,TPS 011,158,158,50,77,25,https://sirekap-obj-formc.kpu.go.id/9eef/pemilu/ppwp/19/01/02/10/12/1901021012011-20240216-130036--8090b21a-9b39-4808-b409-f68a3beedc08.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,GUNUNG MUDA,TPS 005,7,40,51,161,27,https://sirekap-obj-formc.kpu.go.id/aa31/pemilu/ppwp/19/01/02/20/04/1901022004005-20240214-223234--62592143-0213-4a7c-a8b3-146eaed20a2c.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,GUNUNG MUDA,TPS 010,0,0,28,163,56,https://sirekap-obj-formc.kpu.go.id/19e6/pemilu/ppwp/19/01/02/20/04/1901022004010-20240216-120800--338a4b52-c2e0-4f97-ba0f-782898a93c51.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,GUNUNG PELAWAN,TPS 002,223,224,0,154,39,https://sirekap-obj-formc.kpu.go.id/9f3b/pemilu/ppwp/19/01/02/20/05/1901022005002-20240217-135915--4a2a908d-6c96-4404-9452-6580cc1724e1.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,GUNUNG PELAWAN,TPS 006,198,204,22,131,55,https://sirekap-obj-formc.kpu.go.id/28ff/pemilu/ppwp/19/01/02/20/05/1901022005006-20240214-203333--9b6e6e30-fb32-4b12-aeb1-587725b3f04f.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,KUTO PANJI,TPS 008,0,0,34,107,22,https://sirekap-obj-formc.kpu.go.id/261f/pemilu/ppwp/19/01/02/10/01/1901021001008-20240215-020853--1e911811-c5df-4fb3-9c4d-07b229d4671f.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,LUMUT,TPS 002,199,203,12,143,441,https://sirekap-obj-formc.kpu.go.id/ebb4/pemilu/ppwp/19/01/02/20/07/1901022007002-20240216-132021--162251dd-98b0-420e-9491-9160eedaf165.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,RIDING PANJANG,TPS 010,0,0,25,133,27,https://sirekap-obj-formc.kpu.go.id/ba3c/pemilu/ppwp/19/01/02/20/06/1901022006010-20240216-133027--1cdb86f6-2c13-4a57-bc08-0cc5cc31724f.jpg
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,AIR DUREN,TPS 003,193,203,79,94,15,https://sirekap-obj-formc.kpu.go.id/3d88/pemilu/ppwp/19/01/04/20/09/1901042009003-20240216-182108--2ce08494-f0f3-42c9-9e0f-2002c86d1614.jpg
