Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
BANTEN,KOTA CILEGON,CIBEBER,KARANG ASEM,TPS 023,217,222,117,86,18,https://sirekap-obj-formc.kpu.go.id/53f5/pemilu/ppwp/36/72/01/10/05/3672011005023-20240215-012140--fef81620-f6c2-4669-9d24-eea76a627e95.jpg
BANTEN,KOTA CILEGON,CIBEBER,KEDALEMAN,TPS 011,255,266,44,142,19,https://sirekap-obj-formc.kpu.go.id/179f/pemilu/ppwp/36/72/01/10/02/3672011002011-20240214-214910--fdf94880-47d1-4540-afc6-8cec1b885a7a.jpg
BANTEN,KOTA CILEGON,CILEGON,BENDUNGAN,TPS 016,221,230,46,122,17,https://sirekap-obj-formc.kpu.go.id/2c56/pemilu/ppwp/36/72/02/10/03/3672021003016-20240215-034145--6253d1c4-a428-47a2-9b1d-6acf17853811.jpg
BANTEN,KOTA CILEGON,CILEGON,CIWEDUS,TPS 015,211,218,64,113,14,https://sirekap-obj-formc.kpu.go.id/4e7f/pemilu/ppwp/36/72/02/10/02/3672021002015-20240216-121855--0ca3ab55-6652-4d17-a767-cdf155674da8.jpg
BANTEN,KOTA CILEGON,CITANGKIL,TAMAN BARU,TPS 004,265,269,112,177,16,https://sirekap-obj-formc.kpu.go.id/010a/pemilu/ppwp/36/72/08/10/04/3672081004004-20240215-043935--7753cfac-13a8-4418-9282-72f0dccb6813.jpg
BANTEN,KOTA CILEGON,CITANGKIL,TAMAN BARU,TPS 025,217,221,104,86,28,https://sirekap-obj-formc.kpu.go.id/df97/pemilu/ppwp/36/72/08/10/04/3672081004025-20240215-230747--79904f59-3973-452b-b034-dc3641ec565f.jpg
BANTEN,KOTA CILEGON,CIWANDAN,GUNUNG SUGIH,TPS 008,247,264,129,101,8,https://sirekap-obj-formc.kpu.go.id/e495/pemilu/ppwp/36/72/04/10/04/3672041004008-20240216-134658--f286755c-2cc8-43df-82a6-12b278f980b2.jpg
BANTEN,KOTA CILEGON,CIWANDAN,KEPUH,TPS 013,227,240,92,109,25,https://sirekap-obj-formc.kpu.go.id/aa85/pemilu/ppwp/36/72/04/10/05/3672041005013-20240214-191551--4c0d13bd-0d55-42ff-84bd-79fd2ad104f5.jpg
BANTEN,KOTA CILEGON,CIWANDAN,TEGAL RATU,TPS 015,223,246,108,95,4,https://sirekap-obj-formc.kpu.go.id/534d/pemilu/ppwp/36/72/04/10/02/3672041002015-20240216-124918--5835068c-50aa-4e25-b034-f3954d480889.jpg
BANTEN,KOTA CILEGON,JOMBANG,SUKMAJAYA,TPS 017,217,225,75,117,31,https://sirekap-obj-formc.kpu.go.id/28f8/pemilu/ppwp/36/72/05/10/01/3672051001017-20240216-131405--9670e89c-a1c0-4687-bd53-bc26e2b11761.jpg
BANTEN,KOTA SERANG,SERANG,CIMUNCANG,TPS 059,232,236,72,146,13,https://sirekap-obj-formc.kpu.go.id/3127/pemilu/ppwp/36/73/01/10/06/3673011006059-20240214-211638--06abba9d-70c5-4c3f-b62c-c19849ea398f.jpg
