Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
BENGKULU,BENGKULU SELATAN,AIR NIPIS,MARAS,TPS 004,194,196,18,118,55,https://sirekap-obj-formc.kpu.go.id/f95d/pemilu/ppwp/17/01/08/20/10/1701082010004-20240217-092926--07719b42-9138-4b88-a0a8-81d1d6d985c8.jpg
BENGKULU,BENGKULU SELATAN,AIR NIPIS,PALAK BENGKERUNG,TPS 001,217,226,49,128,41,https://sirekap-obj-formc.kpu.go.id/96f4/pemilu/ppwp/17/01/08/20/05/1701082005001-20240217-122358--bd69f19d-073a-426f-bf8d-a67aed15ba3c.jpg
BENGKULU,BENGKULU SELATAN,AIR NIPIS,PALAK BENGKERUNG,TPS 005,183,191,23,144,15,https://sirekap-obj-formc.kpu.go.id/4cfb/pemilu/ppwp/17/01/08/20/05/1701082005005-20240217-132042--20c1db39-9324-4f6f-aff2-a38765dfaaf3.jpg
BENGKULU,BENGKULU SELATAN,AIR NIPIS,SUKARAMI,TPS 004,212,218,43,245,23,https://sirekap-obj-formc.kpu.go.id/75d2/pemilu/ppwp/17/01/08/20/04/1701082004004-20240217-162113--2d064ef9-5f2e-4ec2-845c-fccbefe35cf4.jpg
BENGKULU,BENGKULU SELATAN,BUNGA MAS,GINDO SULI,TPS 003,176,179,40,120,0,https://sirekap-obj-formc.kpu.go.id/1de8/pemilu/ppwp/17/01/10/20/03/1701102003003-20240216-104952--1f10df2c-70e2-44dc-a960-d954c8e4e9a0.jpg
BENGKULU,BENGKULU SELATAN,BUNGA MAS,PADANG BURNAI,TPS 002,181,182,29,120,24,https://sirekap-obj-formc.kpu.go.id/75cd/pemilu/ppwp/17/01/10/20/10/1701102010002-20240216-114106--2d5e0c09-43ee-45d3-9307-2d6ed2757d04.jpg
BENGKULU,BENGKULU SELATAN,BUNGA MAS,PADANG NIBUNG,TPS 001,167,169,863,870,34,https://sirekap-obj-formc.kpu.go.id/f3ec/pemilu/ppwp/17/01/10/20/06/1701102006001-20240216-213725--b2873295-80f8-4bd0-953b-848a849580c5.jpg
BENGKULU,BENGKULU SELATAN,BUNGA MAS,TALANG INDAH,TPS 001,217,218,77,102,78,https://sirekap-obj-formc.kpu.go.id/6dd1/pemilu/ppwp/17/01/10/20/04/1701102004001-20240216-211935--5b621f74-e97f-4a92-98f2-808395654f28.jpg
BENGKULU,BENGKULU SELATAN,KEDURANG ILIR,AIR SULAU,TPS 004,244,245,0,0,0,https://sirekap-obj-formc.kpu.go.id/858c/pemilu/ppwp/17/01/07/20/11/1701072011004-20240215-225733--852d3b70-02f7-42bc-92ef-fb328ee5f6b7.jpg
BENGKULU,BENGKULU SELATAN,KEDURANG ILIR,NANJUNGAN,TPS 002,151,151,12,121,14,https://sirekap-obj-formc.kpu.go.id/6cf3/pemilu/ppwp/17/01/07/20/04/1701072004002-20240215-201552--b0c84cf2-7440-4d25-9eec-7f7747f39b26.jpg
