Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 010,192,194,80,100,112,https://sirekap-obj-formc.kpu.go.id/a60d/pemilu/ppwp/75/02/03/20/01/7502032001010-20240216-160311--5da86e58-041d-43f7-9276-4c94cbcabe50.jpg
GORONTALO,BOALEMO,MANANGGU,PONTOLO,TPS 003,255,260,43,175,76,https://sirekap-obj-formc.kpu.go.id/b1d9/pemilu/ppwp/75/02/05/20/07/7502052007003-20240215-044249--a8590016-edec-4379-b7f3-ed62c6d48bbe.jpg
GORONTALO,BOALEMO,MANANGGU,TABULO,TPS 005,0,0,48,115,10,https://sirekap-obj-formc.kpu.go.id/ba54/pemilu/ppwp/75/02/05/20/01/7502052001005-20240214-141103--cdaceb87-8611-441c-867b-197ebe9c65ad.jpg
GORONTALO,BOALEMO,PAGUYAMAN,KUALA LUMPUR,TPS 003,250,255,82,158,15,https://sirekap-obj-formc.kpu.go.id/766f/pemilu/ppwp/75/02/01/20/12/7502012012003-20240215-140715--ff6382b5-84bc-4bd3-8c0c-937b8f3bb497.jpg
GORONTALO,BOALEMO,TILAMUTA,AYUHULALO,TPS 006,268,270,54,77,37,https://sirekap-obj-formc.kpu.go.id/7453/pemilu/ppwp/75/02/04/20/03/7502042003006-20240216-184043--78186331-8f46-4fd4-967a-c660d3673cff.jpg
GORONTALO,BOALEMO,TILAMUTA,HUNGAYONAA,TPS 003,234,238,79,148,12,https://sirekap-obj-formc.kpu.go.id/999a/pemilu/ppwp/75/02/04/20/04/7502042004003-20240216-144735--e40db622-5e0d-4480-819d-59fc80c0024d.jpg
GORONTALO,BOALEMO,TILAMUTA,MODELOMO,TPS 008,248,249,82,165,10,https://sirekap-obj-formc.kpu.go.id/23dc/pemilu/ppwp/75/02/04/20/05/7502042005008-20240216-145653--69768b26-8725-4cb0-8f8d-7ba2801e5be4.jpg
GORONTALO,BOALEMO,TILAMUTA,PILOLIYANGA,TPS 009,282,282,72,78,32,https://sirekap-obj-formc.kpu.go.id/9c1b/pemilu/ppwp/75/02/04/20/02/7502042002009-20240216-134013--d3e102a2-7f99-4cdf-99d1-2f4a98f23168.jpg
GORONTALO,BOALEMO,WONOSARI,DIMITO,TPS 002,236,237,54,170,21,https://sirekap-obj-formc.kpu.go.id/e62f/pemilu/ppwp/75/02/02/20/10/7502022010002-20240216-155335--856154f5-f052-4e16-a466-32292e0134be.jpg
GORONTALO,BOALEMO,WONOSARI,HARAPAN,TPS 002,217,217,11,480,28,https://sirekap-obj-formc.kpu.go.id/5ab4/pemilu/ppwp/75/02/02/20/01/7502022001002-20240217-174314--b72894d8-5f89-4b83-a4a9-95db82acc00c.jpg
GORONTALO,BOALEMO,WONOSARI,HARAPAN,TPS 003,276,277,40,77,59,https://sirekap-obj-formc.kpu.go.id/72cf/pemilu/ppwp/75/02/02/20/01/7502022001003-20240216-142906--e607f48b-b45f-44c6-b127-6d8a860d1b73.jpg
GORONTALO,BOALEMO,WONOSARI,HARAPAN,TPS 008,251,254,44,77,30,https://sirekap-obj-formc.kpu.go.id/0025/pemilu/ppwp/75/02/02/20/01/7502022001008-20240216-154825--a26e589f-0914-4983-9c17-e5fa68af85e1.jpg
GORONTALO,BONE BOLANGO,BULANGO ULU,OWATA,TPS 003,193,194,53,237,3,https://sirekap-obj-formc.kpu.go.id/caf4/pemilu/ppwp/75/03/14/20/02/7503142002003-20240214-210906--8c820fb7-473d-487a-83bc-181610cc72ae.jpg
GORONTALO,GORONTALO,LIMBOTO BARAT,HUIDU UTARA,TPS 004,205,209,53,147,10,https://sirekap-obj-formc.kpu.go.id/a459/pemilu/ppwp/75/01/17/20/10/7501172010004-20240216-152109--80c2a2d3-4329-4167-95cf-c0c1d4c30e6d.jpg
GORONTALO,GORONTALO,TABONGO,TABONGO TIMUR,TPS 009,227,227,91,122,8,https://sirekap-obj-formc.kpu.go.id/7768/pemilu/ppwp/75/01/19/20/01/7501192001009-20240216-154500--b3e48408-f509-4e4c-acfd-84c05302c78f.jpg
GORONTALO,GORONTALO,TELAGA BIRU,TULADENGGI,TPS 005,228,229,57,150,11,https://sirekap-obj-formc.kpu.go.id/fee1/pemilu/ppwp/75/01/10/20/05/7501102005005-20240217-151732--5fc7b06e-3a7c-488b-a1b8-368deba349c7.jpg
GORONTALO,GORONTALO,TIBAWA,ILOPONU,TPS 004,234,239,48,172,8,https://sirekap-obj-formc.kpu.go.id/f2f6/pemilu/ppwp/75/01/04/20/10/7501042010004-20240216-094413--dc9e28c2-1aba-481d-8f85-f638ffd3da47.jpg
