Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
JAWA BARAT,BANDUNG,ARJASARI,MANGUNJAYA,TPS 013,227,230,74,185,44,https://sirekap-obj-formc.kpu.go.id/aa3c/pemilu/ppwp/32/04/16/20/06/3204162006013-20240217-161528--b7ffea8f-9986-4313-81ac-851a8703b090.jpg
JAWA BARAT,BANDUNG,BALEENDAH,ANDIR,TPS 077,160,160,34,127,9,https://sirekap-obj-formc.kpu.go.id/05b2/pemilu/ppwp/32/04/32/10/02/3204321002077-20240214-190105--9f764e54-2a50-414a-8a92-01b25741ff81.jpg
JAWA BARAT,BANDUNG,BALEENDAH,BOJONGMALAKA,TPS 024,169,173,24,121,14,https://sirekap-obj-formc.kpu.go.id/e4ba/pemilu/ppwp/32/04/32/20/05/3204322005024-20240214-193525--6e44c8b7-440b-4975-97d0-790ae336d279.jpg
JAWA BARAT,BANDUNG,BALEENDAH,MALAKASARI,TPS 004,199,199,64,109,21,https://sirekap-obj-formc.kpu.go.id/7ea9/pemilu/ppwp/32/04/32/20/07/3204322007004-20240214-184805--fe36f5ee-d3b1-47cf-b05f-cb9453e15176.jpg
JAWA BARAT,BANDUNG,BALEENDAH,RANCAMANYAR,TPS 005,215,217,55,147,10,https://sirekap-obj-formc.kpu.go.id/3163/pemilu/ppwp/32/04/32/20/06/3204322006005-20240214-162222--e7d9a041-0e32-458b-8573-7f24b9d3c685.jpg
JAWA BARAT,BANDUNG,BALEENDAH,RANCAMANYAR,TPS 107,183,190,49,23,11,https://sirekap-obj-formc.kpu.go.id/6b60/pemilu/ppwp/32/04/32/20/06/3204322006107-20240215-002651--78e7e998-eb85-464d-aae9-7b905e5e74f6.jpg
JAWA BARAT,BANDUNG,BALEENDAH,WARGAMEKAR,TPS 004,178,184,40,30,8,https://sirekap-obj-formc.kpu.go.id/e800/pemilu/ppwp/32/04/32/10/08/3204321008004-20240215-012128--6efa06f4-86e9-40ef-b466-5036839912fa.jpg
JAWA BARAT,BANDUNG,BANJARAN,BANJARAN WETAN,TPS 007,0,0,85,135,11,https://sirekap-obj-formc.kpu.go.id/3e38/pemilu/ppwp/32/04/13/20/02/3204132002007-20240216-142756--5aa1d588-630f-4135-85ae-d8f713907fe7.jpg
JAWA BARAT,BANDUNG,BANJARAN,BANJARAN WETAN,TPS 017,0,0,48,48,4,https://sirekap-obj-formc.kpu.go.id/b707/pemilu/ppwp/32/04/13/20/02/3204132002017-20240216-070545--de8a0b75-6848-46f0-810f-a8836c08d1dc.jpg
JAWA BARAT,BANDUNG,BANJARAN,KAMASAN,TPS 002,0,0,73,79,22,https://sirekap-obj-formc.kpu.go.id/ee55/pemilu/ppwp/32/04/13/20/01/3204132001002-20240215-011416--fe705e88-2473-408d-99a0-8f5dc6b6b49f.jpg
