Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
DKI JAKARTA,ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN.,PULAU PARI,TPS 001,222,225,85,123,18,https://sirekap-obj-formc.kpu.go.id/ae6f/pemilu/ppwp/31/01/02/10/03/3101021003001-20240216-152636--2bb96e17-e82d-4c73-a4e2-e888683eb58d.jpg
DKI JAKARTA,ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN.,PULAU TIDUNG,TPS 004,207,211,105,81,11,https://sirekap-obj-formc.kpu.go.id/8e94/pemilu/ppwp/31/01/02/10/02/3101021002004-20240216-122441--998f89e5-a3cf-43ad-b5cc-0c0c4434a161.jpg
DKI JAKARTA,ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,TPS 003,235,238,86,119,38,https://sirekap-obj-formc.kpu.go.id/8de9/pemilu/ppwp/31/01/01/10/01/3101011001003-20240216-133822--5e1c2280-3a86-47c5-a2d9-5b89cc312eed.jpg
DKI JAKARTA,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,TPS 152,178,181,49,103,25,https://sirekap-obj-formc.kpu.go.id/d750/pemilu/ppwp/31/73/01/10/01/3173011001152-20240214-202116--a5fe7796-3950-485e-9185-18c087ad6e6c.jpg
DKI JAKARTA,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,TPS 185,206,210,25,117,54,https://sirekap-obj-formc.kpu.go.id/6b5a/pemilu/ppwp/31/73/01/10/01/3173011001185-20240214-223901--7672bf48-d7f0-4e5f-9ee0-5f6d9abc7df3.jpg
DKI JAKARTA,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,TPS 006,223,226,111,83,23,https://sirekap-obj-formc.kpu.go.id/8115/pemilu/ppwp/31/73/01/10/06/3173011006006-20240214-210220--2e606f17-e038-4879-b544-55d5d0a9c2ef.jpg
DKI JAKARTA,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,TPS 041,215,219,83,105,23,https://sirekap-obj-formc.kpu.go.id/494b/pemilu/ppwp/31/73/01/10/06/3173011006041-20240215-141246--86c8c41f-a982-434e-9960-553e594ff159.jpg
DKI JAKARTA,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,TPS 057,223,228,100,511,225,https://sirekap-obj-formc.kpu.go.id/b9fe/pemilu/ppwp/31/73/01/10/06/3173011006057-20240216-071554--3e50449e-730a-4c76-a259-61681cefc50c.jpg
DKI JAKARTA,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,TPS 127,239,242,855,94,60,https://sirekap-obj-formc.kpu.go.id/ec4f/pemilu/ppwp/31/73/01/10/06/3173011006127-20240216-073116--edfe4127-6968-40cc-8d03-f29943c8c05d.jpg
DKI JAKARTA,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,TPS 134,207,208,51,317,27,https://sirekap-obj-formc.kpu.go.id/7efe/pemilu/ppwp/31/73/01/10/06/3173011006134-20240214-222740--960130ed-3f9f-4ee8-87a6-ea9e4b13ac5d.jpg
