Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
JAMBI, KERINCI,AIR HANGAT,KOTO MAJIDIN HILIR,TPS 003,160,169,61,94,1,https://sirekap-obj-formc.kpu.go.id/3153/pemilu/ppwp/15/01/05/20/15/1501052015003-20240215-023135--e3968f8f-1fa4-43e7-bf04-8714670255e9.jpg
JAMBI, KERINCI,AIR HANGAT,KOTO MAJIDIN MUDIK,TPS 003,177,184,56,118,2,https://sirekap-obj-formc.kpu.go.id/1925/pemilu/ppwp/15/01/05/20/29/1501052029003-20240217-130547--649ed706-b7b1-4343-9042-dfc0cfaa0771.jpg
JAMBI, KERINCI,AIR HANGAT,PENDUNG MUDIK,TPS 001,232,247,24,297,7,https://sirekap-obj-formc.kpu.go.id/411f/pemilu/ppwp/15/01/05/20/18/1501052018001-20240216-104652--55ec952c-1f63-4b93-bf7f-302ec517b473.jpg
JAMBI, KERINCI,AIR HANGAT BARAT,KECIL,TPS 002,210,215,72,132,7,https://sirekap-obj-formc.kpu.go.id/a2eb/pemilu/ppwp/15/01/21/20/11/1501212011002-20240216-135036--9d75d05b-9edf-4f4a-bc68-d19f50d12720.jpg
JAMBI, KERINCI,AIR HANGAT BARAT,PUGU,TPS 002,0,0,105,111,1,https://sirekap-obj-formc.kpu.go.id/083f/pemilu/ppwp/15/01/21/20/05/1501212005002-20240216-190417--ee34b04c-a909-44d0-bc11-bb80b8032fe0.jpg
JAMBI, KERINCI,BATANG MERANGIN,PEMATANG LINGKUNG,TPS 002,214,221,22,153,38,https://sirekap-obj-formc.kpu.go.id/7233/pemilu/ppwp/15/01/07/20/08/1501072008002-20240216-134046--7c45033a-94f9-42e7-87c7-b6eb2a8b5e93.jpg
JAMBI, KERINCI,BUKITKERMAN,PENGASI LAMA,TPS 001,192,195,30,174,11,https://sirekap-obj-formc.kpu.go.id/a84e/pemilu/ppwp/15/01/20/20/09/1501202009001-20240214-191647--eb415280-de56-4556-9773-aac3606e1457.jpg
JAMBI, KERINCI,DANAU KERINCI,DUSUN BARU TANJUNG TANAH,TPS 001,184,184,0,0,0,https://sirekap-obj-formc.kpu.go.id/55ff/pemilu/ppwp/15/01/02/20/15/1501022015001-20240217-005805--6f92ba52-4eb1-446c-a98c-3e7db9494949.jpg
JAMBI, KERINCI,DANAU KERINCI,KOTA BARU SANGGARAN AGUNG,TPS 001,246,246,745,64,7,https://sirekap-obj-formc.kpu.go.id/73d3/pemilu/ppwp/15/01/02/20/02/1501022002001-20240217-091752--e15fffa7-a509-4497-84d0-6602b851d29f.jpg
JAMBI, KERINCI,DANAU KERINCI,SIMPANG EMPAT,TPS 003,168,174,72,87,5,https://sirekap-obj-formc.kpu.go.id/fd29/pemilu/ppwp/15/01/02/20/13/1501022013003-20240214-191536--4ad5b13e-cd23-40bd-a29e-a5e4ec5ee5a6.jpg
JAMBI, KERINCI,DANAU KERINCI,TANJUNGTANAH,TPS 003,156,158,45,105,5,https://sirekap-obj-formc.kpu.go.id/0721/pemilu/ppwp/15/01/02/20/07/1501022007003-20240217-111008--f3cf7922-8373-41ef-9ff4-98b869ef3cf4.jpg
