Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
JAWA TIMUR,BANGKALAN,GEGER,KAMPAK,TPS 023,265,272,163,49,83,https://sirekap-obj-formc.kpu.go.id/5696/pemilu/ppwp/35/26/06/20/09/3526062009023-20240214-202647--39d6c990-b775-442f-9fb0-8ccc1e6a395e.jpg
JAWA TIMUR,BANGKALAN,GEGER,KATOL BARAT,TPS 013,277,279,5,14,254,https://sirekap-obj-formc.kpu.go.id/538f/pemilu/ppwp/35/26/06/20/03/3526062003013-20240216-132310--6248ab74-80d8-4d00-8106-8d91f0b6717c.jpg
JAWA TIMUR,BANGKALAN,GEGER,TOGUBANG,TPS 006,258,261,51,143,60,https://sirekap-obj-formc.kpu.go.id/7a45/pemilu/ppwp/35/26/06/20/07/3526062007006-20240215-183915--8e3c52b3-a942-429c-9a2f-a462a837a564.jpg
JAWA TIMUR,BANGKALAN,KLAMPIS,BULUKAGUNG,TPS 006,282,289,141,41,12,https://sirekap-obj-formc.kpu.go.id/9d8d/pemilu/ppwp/35/26/07/20/02/3526072002006-20240214-204737--59f35b5e-9acf-4f6e-94c4-17b1ab461f7b.jpg
JAWA TIMUR,BANGKALAN,KLAMPIS,BULUKAGUNG,TPS 011,280,290,176,81,18,https://sirekap-obj-formc.kpu.go.id/6998/pemilu/ppwp/35/26/07/20/02/3526072002011-20240214-185738--2d79a2f3-b903-4195-8661-30e2e1f98ce2.jpg
JAWA TIMUR,BANGKALAN,LABANG,KESEK,TPS 001,191,264,42,121,27,https://sirekap-obj-formc.kpu.go.id/5e6b/pemilu/ppwp/35/26/12/20/01/3526122001001-20240215-003756--d4689463-8f58-46e6-824a-a724375fc412.jpg
JAWA TIMUR,BANYUWANGI,BANGOREJO,KEBONDALEM,TPS 019,227,229,27,172,38,https://sirekap-obj-formc.kpu.go.id/15cd/pemilu/ppwp/35/10/02/20/05/3510022005019-20240215-010848--0563e640-41d5-4319-92bd-19d1395f048e.jpg
JAWA TIMUR,BANYUWANGI,BANGOREJO,RINGINTELU,TPS 011,208,210,851,148,39,https://sirekap-obj-formc.kpu.go.id/c890/pemilu/ppwp/35/10/02/20/07/3510022007011-20240217-091400--77130713-35d2-458b-8797-8026fc1b534b.jpg
JAWA TIMUR,BANYUWANGI,BANGOREJO,SAMBIMULYO,TPS 001,215,216,27,150,42,https://sirekap-obj-formc.kpu.go.id/0e95/pemilu/ppwp/35/10/02/20/06/3510022006001-20240217-170915--98c87b99-8047-4bbf-9b7a-4c03a9d2a0ba.jpg
JAWA TIMUR,BANYUWANGI,BANGOREJO,SAMBIMULYO,TPS 004,183,185,8,229,96,https://sirekap-obj-formc.kpu.go.id/1669/pemilu/ppwp/35/10/02/20/06/3510022006004-20240217-140814--22927a4b-0cd6-42f7-8979-578c5ef9a3fe.jpg
JAWA TIMUR,BANYUWANGI,BANGOREJO,SAMBIMULYO,TPS 013,226,227,0,0,0,https://sirekap-obj-formc.kpu.go.id/b677/pemilu/ppwp/35/10/02/20/06/3510022006013-20240217-163203--1f459e5e-ea7b-4056-a599-2146674a5c7c.jpg
JAWA TIMUR,BANYUWANGI,BANGOREJO,SUKOREJO,TPS 014,213,218,0,0,0,https://sirekap-obj-formc.kpu.go.id/4662/pemilu/ppwp/35/10/02/20/01/3510022001014-20240217-103818--a55f0a27-242a-49b3-a19b-ca96522812ef.jpg
JAWA TIMUR,BANYUWANGI,BANGOREJO,TEMUREJO,TPS 039,225,226,9,558,58,https://sirekap-obj-formc.kpu.go.id/c230/pemilu/ppwp/35/10/02/20/03/3510022003039-20240217-112731--c0ef9cbd-85b7-466f-bd20-be631e96314a.jpg
JAWA TIMUR,BANYUWANGI,BANYUWANGI,KERTOSARI,TPS 016,203,207,18,78,14,https://sirekap-obj-formc.kpu.go.id/f31b/pemilu/ppwp/35/10/16/10/06/3510161006016-20240215-030102--7c50e1de-0516-46bf-bf41-8c9d35427c5c.jpg
JAWA TIMUR,BANYUWANGI,BANYUWANGI,TUKANGKAYU,TPS 007,219,0,35,0,30,https://sirekap-obj-formc.kpu.go.id/d0c5/pemilu/ppwp/35/10/16/10/05/3510161005007-20240214-205415--1d40a7c0-e091-4ef2-950b-23e16a4cabf5.jpg
JAWA TIMUR,BANYUWANGI,BANYUWANGI,TUKANGKAYU,TPS 019,278,221,73,104,41,https://sirekap-obj-formc.kpu.go.id/b03d/pemilu/ppwp/35/10/16/10/05/3510161005019-20240214-190453--2fc901bf-6c6e-4634-807a-b21da009a417.jpg
JAWA TIMUR,BANYUWANGI,BLIMBINGSARI,BADEAN,TPS 010,204,207,0,0,0,https://sirekap-obj-formc.kpu.go.id/5d0a/pemilu/ppwp/35/10/25/20/09/3510252009010-20240216-063212--946b1da6-7395-4d4b-b224-b5464fd1b7ec.jpg
JAWA TIMUR,BANYUWANGI,BLIMBINGSARI,KARANGREJO,TPS 003,215,217,23,157,40,https://sirekap-obj-formc.kpu.go.id/104e/pemilu/ppwp/35/10/25/20/08/3510252008003-20240216-211749--59e31642-30af-4725-8aa1-5f79cfb9c22d.jpg
JAWA TIMUR,BANYUWANGI,BLIMBINGSARI,KARANGREJO,TPS 011,176,180,803,432,46,https://sirekap-obj-formc.kpu.go.id/562b/pemilu/ppwp/35/10/25/20/08/3510252008011-20240217-104937--b5b725b8-9695-40a4-8e54-8a3fbd4ec8cf.jpg
JAWA TIMUR,BANYUWANGI,BLIMBINGSARI,PATOMAN,TPS 004,221,223,16,171,74,https://sirekap-obj-formc.kpu.go.id/832d/pemilu/ppwp/35/10/25/20/06/3510252006004-20240214-224552--256c1e5a-18e3-4db9-8df4-670229619c6d.jpg
JAWA TIMUR,BANYUWANGI,CLURING,SARIMULYO,TPS 003,168,171,0,0,0,https://sirekap-obj-formc.kpu.go.id/5803/pemilu/ppwp/35/10/06/20/08/3510062008003-20240217-021704--cccf121f-2835-4dcd-b9dc-acaf4a84d491.jpg
JAWA TIMUR,BANYUWANGI,CLURING,SEMBULUNG,TPS 009,211,214,802,488,837,https://sirekap-obj-formc.kpu.go.id/4ff1/pemilu/ppwp/35/10/06/20/03/3510062003009-20240217-121814--8849242d-f54f-4946-8000-84c2fdbcaae6.jpg
JAWA TIMUR,BANYUWANGI,CLURING,SEMBULUNG,TPS 018,221,224,625,402,422,https://sirekap-obj-formc.kpu.go.id/771a/pemilu/ppwp/35/10/06/20/03/3510062003018-20240217-151241--214dfd33-f162-4d10-a88f-3c384961fce5.jpg
JAWA TIMUR,BANYUWANGI,CLURING,SEMBULUNG,TPS 020,235,239,11,880,47,https://sirekap-obj-formc.kpu.go.id/373e/pemilu/ppwp/35/10/06/20/03/3510062003020-20240217-142043--28a18593-f002-427a-b308-b7e7735b3631.jpg
JAWA TIMUR,BANYUWANGI,CLURING,TAMANAGUNG,TPS 025,201,206,0,0,0,https://sirekap-obj-formc.kpu.go.id/4fd9/pemilu/ppwp/35/10/06/20/07/3510062007025-20240217-132518--2f450d53-bc46-4082-965c-0b6b5d191d87.jpg
JAWA TIMUR,BANYUWANGI,GAMBIRAN,JAJAG,TPS 043,196,200,803,440,52,https://sirekap-obj-formc.kpu.go.id/d3e8/pemilu/ppwp/35/10/07/20/02/3510072002043-20240215-011306--cdc3c6b2-30c9-4ecf-b82f-07e47a3442fc.jpg
