Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
LAMPUNG,KOTA BANDAR LAMPUNG,BUMI WARAS,BUMI RAYA,TPS 016,223,226,43,160,18,https://sirekap-obj-formc.kpu.go.id/5599/pemilu/ppwp/18/71/20/10/04/1871201004016-20240214-202220--45434380-7c6e-499d-9a54-b05f899568a7.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,BUMI WARAS,BUMI WARAS,TPS 012,230,242,26,161,42,https://sirekap-obj-formc.kpu.go.id/b893/pemilu/ppwp/18/71/20/10/02/1871201002012-20240217-173856--25fa091c-587f-4e93-9356-56cb0207927b.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,BUMI WARAS,BUMI WARAS,TPS 019,133,140,29,137,27,https://sirekap-obj-formc.kpu.go.id/cb65/pemilu/ppwp/18/71/20/10/02/1871201002019-20240217-180221--a3a74575-43dc-44c6-9334-c9de9e71ea00.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,BUMI WARAS,BUMI WARAS,TPS 033,210,214,32,145,32,https://sirekap-obj-formc.kpu.go.id/7486/pemilu/ppwp/18/71/20/10/02/1871201002033-20240214-141324--562b353e-3d53-4fcd-91bc-ead186f91a43.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,BUMI WARAS,GARUNTANG,TPS 009,142,157,12,122,7,https://sirekap-obj-formc.kpu.go.id/c0d5/pemilu/ppwp/18/71/20/10/03/1871201003009-20240214-192922--0b7b68c7-10da-4ea0-a108-873e3be1b675.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,BUMI WARAS,KANGKUNG,TPS 014,201,203,28,152,22,https://sirekap-obj-formc.kpu.go.id/6e5d/pemilu/ppwp/18/71/20/10/05/1871201005014-20240214-200234--bb5319dc-6b26-4442-b544-30d04ae5a5f1.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,ENGGAL,RAWALAUT,TPS 001,,,42,71,26,https://sirekap-obj-formc.kpu.go.id/d7fa/pemilu/ppwp/18/71/17/10/05/1871171005001-20240214-220754--4798204a-b6ca-4c77-b149-2425897b31c1.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEDAMAIAN,BUMI KEDAMAIAN,TPS 003,233,235,64,147,20,https://sirekap-obj-formc.kpu.go.id/3a11/pemilu/ppwp/18/71/18/10/02/1871181002003-20240217-164557--245dda0e-3a61-4855-81dd-9a1b571ffed3.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEDAMAIAN,TANJUNGGADING,TPS 002,201,206,57,172,66,https://sirekap-obj-formc.kpu.go.id/0431/pemilu/ppwp/18/71/18/10/07/1871181007002-20240217-141556--4c0cf911-c2a8-4f72-95b6-5a4ecd1d8caa.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEDAMAIAN,TANJUNGGADING,TPS 011,227,233,555,130,17,https://sirekap-obj-formc.kpu.go.id/75e0/pemilu/ppwp/18/71/18/10/07/1871181007011-20240217-154538--49ce1f76-ce40-4b5a-abee-f21a1cb2ba37.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEDATON,SUKAMENANTI BARU,TPS 003,242,250,0,0,0,https://sirekap-obj-formc.kpu.go.id/e6f5/pemilu/ppwp/18/71/01/10/09/1871011009003-20240216-195827--ecec2a27-6e41-4021-bacb-9500d3afbc51.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEDATON,SUKAMENANTI BARU,TPS 011,198,199,53,227,28,https://sirekap-obj-formc.kpu.go.id/96b0/pemilu/ppwp/18/71/01/10/09/1871011009011-20240216-120305--b01541eb-87a3-491f-a2f5-76deb25e33ec.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEDATON,SURABAYA,TPS 013,225,228,62,127,25,https://sirekap-obj-formc.kpu.go.id/e07f/pemilu/ppwp/18/71/01/10/04/1871011004013-20240214-215918--da57d6f2-563a-4edc-9eb9-43b527c6eed2.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEDATON,SURABAYA,TPS 019,198,202,52,115,21,https://sirekap-obj-formc.kpu.go.id/44e3/pemilu/ppwp/18/71/01/10/04/1871011004019-20240214-192703--704a9b17-3be5-4b31-bf2f-402c3b1365db.jpg
LAMPUNG,KOTA BANDAR LAMPUNG,KEMILING,BERINGIN RAYA,TPS 033,174,174,57,83,24,https://sirekap-obj-formc.kpu.go.id/d85f/pemilu/ppwp/18/71/13/10/10/1871131010033-20240214-231043--abb198b2-9643-4cda-b4a8-df4b47600186.jpg
