Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
Luar Negeri,"Dhaka, Bangladesh","Dhaka, Bangladesh","Dhaka, Bangladesh",TPS 001,174,175,26,58,40,https://sirekap-obj-formc.kpu.go.id/598b/pemilu/ppwp/99/37/01/00/01/9937010001002-20240214-195649--247b087e-572a-4e19-b34a-c9f8f7cb6bf7.jpg
Luar Negeri,"Dili, Timor Leste","Dili, Timor Leste","Dili, Timor Leste",TPS 004,290,291,17,491,82,https://sirekap-obj-formc.kpu.go.id/834f/pemilu/ppwp/99/38/01/00/01/9938010001004-20240216-121335--4ff4933e-df4e-455d-b6a8-7daa707ce6eb.jpg
Luar Negeri,"Hong Kong, Republik Rakyat Tiongkok","Hong Kong, Republik Rakyat Tiongkok","Hong Kong, Republik Rakyat Tiongkok",POS 007,2614,2724,135,860,619,https://sirekap-obj-formc.kpu.go.id/a8ef/pemilu/ppwp/99/49/01/00/01/9949010001011-20240217-160427--20be86a1-c2f2-4098-b5ee-31bff7a55c70.jpg
Luar Negeri,"Houston, Amerika Serikat","Houston, Amerika Serikat","Houston, Amerika Serikat",KSK 006,45,49,14,16,19,https://sirekap-obj-formc.kpu.go.id/b679/pemilu/ppwp/99/50/01/00/01/9950010001010-20240215-094528--a9f26bcf-31a4-4899-9912-03941a5dac38.jpg
Luar Negeri,"Kota Kinabalu, Malaysia","Kota Kinabalu, Malaysia","Kota Kinabalu, Malaysia",KSK 193,147,149,23,45,39,https://sirekap-obj-formc.kpu.go.id/f300/pemilu/ppwp/99/61/01/00/01/9961010001204-20240214-234713--a38a1d9a-aeff-4374-8045-908720c48f31.jpg
Luar Negeri,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",TPS 049,209,212,0,0,0,https://sirekap-obj-formc.kpu.go.id/e59b/pemilu/ppwp/99/62/01/00/01/9962010001362-20240215-234546--1c8517f3-9d92-45e0-a11b-010df5987aba.jpg
Luar Negeri,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",TPS 063,128,131,0,0,0,https://sirekap-obj-formc.kpu.go.id/0e5e/pemilu/ppwp/99/62/01/00/01/9962010001376-20240215-230038--8d5ab793-d187-48d2-a8bb-e686f0a22fa6.jpg
Luar Negeri,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",TPS 077,83,86,30,40,33,https://sirekap-obj-formc.kpu.go.id/b4fe/pemilu/ppwp/99/62/01/00/01/9962010001390-20240215-222102--458fcfa3-7d2f-4ffc-b157-af004c26d76d.jpg
Luar Negeri,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",TPS 084,101,102,0,0,0,https://sirekap-obj-formc.kpu.go.id/3c04/pemilu/ppwp/99/62/01/00/01/9962010001397-20240215-223731--a2cdefb8-8eab-4986-b035-a5c8a1cbfeec.jpg
Luar Negeri,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",TPS 146,448,50,20,22,6,https://sirekap-obj-formc.kpu.go.id/0a2a/pemilu/ppwp/99/62/01/00/01/9962010001459-20240216-005346--7a042adf-2852-4db7-9f90-74a1cb474283.jpg
