Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
MALUKU,BURU,LILIALY,SAWA,TPS 002,218,220,65,249,4,https://sirekap-obj-formc.kpu.go.id/9bab/pemilu/ppwp/81/04/15/20/04/8104152004002-20240216-054720--005c8f28-f2a6-4e39-b7b0-3366bea7a84c.jpg
MALUKU,BURU,LILIALY,SAWA,TPS 004,231,237,50,149,10,https://sirekap-obj-formc.kpu.go.id/421f/pemilu/ppwp/81/04/15/20/04/8104152004004-20240216-042248--bc1f7806-60f3-4045-9baf-78198838b0e0.jpg
MALUKU,BURU,LILIALY,UBUNG,TPS 004,203,208,55,241,7,https://sirekap-obj-formc.kpu.go.id/1daa/pemilu/ppwp/81/04/15/20/01/8104152001004-20240216-071949--3ae8e573-8839-46ba-91df-7589024d2d12.jpg
MALUKU,BURU,NAMLEA,NAMLEA,TPS 039,228,230,111,108,0,https://sirekap-obj-formc.kpu.go.id/40ba/pemilu/ppwp/81/04/01/20/01/8104012001039-20240216-003055--d89b6ce4-19c9-42dd-82b2-e61ced18e0fa.jpg
MALUKU,BURU,NAMLEA,NAMLEA,TPS 065,283,286,407,464,85,https://sirekap-obj-formc.kpu.go.id/6a4b/pemilu/ppwp/81/04/01/20/01/8104012001065-20240215-102113--b2795260-da3a-4ca6-88fc-11a6cf648c15.jpg
MALUKU,BURU,NAMLEA,SANLEKO,TPS 001,200,203,424,140,36,https://sirekap-obj-formc.kpu.go.id/cd9b/pemilu/ppwp/81/04/01/20/11/8104012011001-20240216-135044--20e6740b-7401-4e60-b57a-cfefe1305a45.jpg
MALUKU,BURU,TELUK KAIELY,KAIELY,TPS 004,145,145,27,108,20,https://sirekap-obj-formc.kpu.go.id/d263/pemilu/ppwp/81/04/14/20/01/8104142001004-20240216-180829--db72e7c9-d1ba-40ff-990f-23d3b8de630b.jpg
MALUKU,BURU,TELUK KAIELY,KAKI AIR,TPS 002,185,187,46,144,0,https://sirekap-obj-formc.kpu.go.id/01f1/pemilu/ppwp/81/04/14/20/04/8104142004002-20240217-094749--a8f25613-c756-4838-997d-c3425298b535.jpg
MALUKU,BURU,TELUK KAIELY,WAELAPIA,TPS 001,200,206,54,42,4,https://sirekap-obj-formc.kpu.go.id/c364/pemilu/ppwp/81/04/14/20/03/8104142003001-20240217-060416--09bc8ddc-f1bd-49a2-8dfc-1c22e53789fa.jpg
MALUKU,BURU,TELUK KAIELY,WAELAPIA,TPS 003,186,196,34,123,23,https://sirekap-obj-formc.kpu.go.id/527a/pemilu/ppwp/81/04/14/20/03/8104142003003-20240216-104506--e6340fbc-49e6-4c53-ba3c-94747590eafe.jpg
MALUKU,BURU,WAEAPO,GOGOREA,TPS 002,137,137,14,120,7,https://sirekap-obj-formc.kpu.go.id/6433/pemilu/ppwp/81/04/03/20/27/8104032027002-20240215-015414--e47962be-334f-4662-a887-df6f8db85243.jpg
MALUKU,BURU,WAEAPO,SAVANA JAYA,TPS 001,227,231,32,857,827,https://sirekap-obj-formc.kpu.go.id/430f/pemilu/ppwp/81/04/03/20/01/8104032001001-20240215-100435--cf5af707-75b2-484b-b1d1-1913cc5a5e57.jpg
MALUKU,BURU,WAEAPO,WAEKASAR,TPS 003,224,232,18,157,39,https://sirekap-obj-formc.kpu.go.id/0a1d/pemilu/ppwp/81/04/03/20/03/8104032003003-20240214-185349--f84d6896-967e-45ca-82bf-6662cf035f5f.jpg
MALUKU,BURU,WAEAPO,WAEKERTA,TPS 001,206,210,42,150,13,https://sirekap-obj-formc.kpu.go.id/e0cc/pemilu/ppwp/81/04/03/20/16/8104032016001-20240214-210049--e0c86299-d74a-408b-86ad-05193f6e60fb.jpg
MALUKU,BURU,WAEAPO,WAEKERTA,TPS 003,205,209,52,133,19,https://sirekap-obj-formc.kpu.go.id/e6c8/pemilu/ppwp/81/04/03/20/16/8104032016003-20240217-083509--d843513d-b7db-4bd1-82fb-f84031521fb9.jpg
