Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
MALUKU UTARA,HALMAHERA BARAT,JAILOLO,TODOWONGI,TPS 003,157,158,0,0,0,https://sirekap-obj-formc.kpu.go.id/4636/pemilu/ppwp/82/01/01/20/23/8201012023003-20240217-085135--e9b4779a-9eff-413b-a906-59b7cc6bf836.jpg
MALUKU UTARA,HALMAHERA BARAT,JAILOLO SELATAN,BOBANEIGO MADIHUTU,TPS 003,248,264,45,159,4,https://sirekap-obj-formc.kpu.go.id/7943/pemilu/ppwp/82/01/05/20/29/8201052029003-20240216-031126--43c4cbe8-fc3f-4dc3-bd20-96fbf763e119.jpg
MALUKU UTARA,HALMAHERA SELATAN,BACAN,TOMORI,TPS 016,73,74,0,0,0,https://sirekap-obj-formc.kpu.go.id/a604/pemilu/ppwp/82/04/08/20/04/8204082004016-20240215-072116--58da5704-6d37-48d2-82e1-f0e1db518f9e.jpg
MALUKU UTARA,HALMAHERA SELATAN,BACAN SELATAN,TUOKONA,TPS 004,168,169,41,120,6,https://sirekap-obj-formc.kpu.go.id/f740/pemilu/ppwp/82/04/17/20/06/8204172006004-20240215-084415--8bb99fb0-a523-412f-a283-7cdd7cb84453.jpg
MALUKU UTARA,HALMAHERA SELATAN,GANE BARAT UTARA,DOLIK,TPS 005,187,187,0,0,0,https://sirekap-obj-formc.kpu.go.id/2ec6/pemilu/ppwp/82/04/24/20/03/8204242003005-20240215-150400--a0cb8f60-236d-432e-8678-2284dc1d0d2b.jpg
MALUKU UTARA,HALMAHERA SELATAN,OBI,KAWASI,TPS 941,192,192,0,0,0,https://sirekap-obj-formc.kpu.go.id/453c/pemilu/ppwp/82/04/06/20/21/8204062021941-20240215-184631--eaf37e72-d5f9-4613-aba5-960f17a79a49.jpg
MALUKU UTARA,HALMAHERA SELATAN,OBI UTARA,MADOPOLO TIMUR,TPS 001,83,5,83,106,5,https://sirekap-obj-formc.kpu.go.id/3f86/pemilu/ppwp/82/04/30/20/07/8204302007001-20240217-165832--129f51be-fae1-4fed-930e-511553d57ba7.jpg
MALUKU UTARA,HALMAHERA TENGAH,WEDA,FIDY JAYA,TPS 014,102,105,30,69,2,https://sirekap-obj-formc.kpu.go.id/cbe6/pemilu/ppwp/82/02/01/20/20/8202012020014-20240215-011744--211fbd2c-8170-4aa5-a680-8a19874d8795.jpg
MALUKU UTARA,HALMAHERA TENGAH,WEDA,FIDY JAYA,TPS 023,131,133,29,102,1,https://sirekap-obj-formc.kpu.go.id/a599/pemilu/ppwp/82/02/01/20/20/8202012020023-20240215-010505--fb1d22a6-b12c-4e10-92d5-6ade8e69b36b.jpg
MALUKU UTARA,HALMAHERA TENGAH,WEDA,WERE,TPS 013,118,118,25,87,10,https://sirekap-obj-formc.kpu.go.id/6a8b/pemilu/ppwp/82/02/01/20/05/8202012005013-20240214-190442--ec74a44d-1b10-478f-8355-1f3faa22373b.jpg
MALUKU UTARA,HALMAHERA TENGAH,WEDA SELATAN,WAIRORO INDAH,TPS 001,195,200,45,135,25,https://sirekap-obj-formc.kpu.go.id/6ca7/pemilu/ppwp/82/02/05/20/04/8202052004001-20240216-072210--4f4742b5-3f45-4f36-922c-246cc211e2e8.jpg
MALUKU UTARA,HALMAHERA TENGAH,WEDA SELATAN,WAIRORO INDAH,TPS 004,173,174,634,639,20,https://sirekap-obj-formc.kpu.go.id/fc06/pemilu/ppwp/82/02/05/20/04/8202052004004-20240215-010233--cac34f23-08a2-4a7c-9db4-10f464d995b5.jpg
MALUKU UTARA,HALMAHERA TENGAH,WEDA TENGAH,KOBE,TPS 001,163,169,3,137,20,https://sirekap-obj-formc.kpu.go.id/a245/pemilu/ppwp/82/02/07/20/04/8202072004001-20240216-153210--d6e12f65-f795-4090-93d3-a6564e60e185.jpg
MALUKU UTARA,HALMAHERA TIMUR,WASILE SELATAN,MINAMIN,TPS 002,232,238,9,169,55,https://sirekap-obj-formc.kpu.go.id/d2f6/pemilu/ppwp/82/06/04/20/06/8206042006002-20240216-194058--4e3653a0-992f-451f-b48f-8b52f57bfcd6.jpg
MALUKU UTARA,HALMAHERA TIMUR,WASILE TIMUR,DAKAINO,TPS 003,218,222,37,144,33,https://sirekap-obj-formc.kpu.go.id/cbfe/pemilu/ppwp/82/06/07/20/02/8206072002003-20240215-220451--b4e85dc9-3b9e-4be1-8f01-7096fc98e142.jpg
MALUKU UTARA,HALMAHERA TIMUR,WASILE TIMUR,RAWAMANGUN,TPS 002,218,225,31,107,17,https://sirekap-obj-formc.kpu.go.id/4689/pemilu/ppwp/82/06/07/20/07/8206072007002-20240217-111045--b9e0216d-7cfa-4043-b67b-0cb80559aff4.jpg
MALUKU UTARA,HALMAHERA UTARA,GALELA BARAT,NGIDIHO,TPS 002,150,157,73,72,15,https://sirekap-obj-formc.kpu.go.id/9176/pemilu/ppwp/82/03/14/20/06/8203142006002-20240214-191900--f0a33c1a-8a13-4c5d-924d-a87e0815e0af.jpg
MALUKU UTARA,HALMAHERA UTARA,GALELA SELATAN,BALE,TPS 001,153,156,0,133,17,https://sirekap-obj-formc.kpu.go.id/4c80/pemilu/ppwp/82/03/16/20/05/8203162005001-20240216-133848--17e852a3-e432-4302-9d35-0181b1079f3e.jpg
MALUKU UTARA,HALMAHERA UTARA,GALELA UTARA,DODOWO,TPS 001,223,224,81,126,9,https://sirekap-obj-formc.kpu.go.id/f664/pemilu/ppwp/82/03/15/20/08/8203152008001-20240216-125121--8ca08bf8-c7cf-4df4-a8f0-909d0d272771.jpg
MALUKU UTARA,HALMAHERA UTARA,KAO TELUK,MAKAELING,TPS 002,178,179,6,104,8,https://sirekap-obj-formc.kpu.go.id/01b8/pemilu/ppwp/82/03/22/20/02/8203222002002-20240217-010407--31a72717-42a5-415d-95e5-181fb9d49dd2.jpg
MALUKU UTARA,HALMAHERA UTARA,LOLODA UTARA,SUPU,TPS 002,169,173,93,72,3,https://sirekap-obj-formc.kpu.go.id/6828/pemilu/ppwp/82/03/09/20/12/8203092012002-20240216-062008--7157fab1-a3a6-48a8-8644-fe9de7cfe20d.jpg
MALUKU UTARA,HALMAHERA UTARA,MALIFUT,NGOFA KIAHA,TPS 002,179,182,59,110,8,https://sirekap-obj-formc.kpu.go.id/7319/pemilu/ppwp/82/03/08/20/01/8203082001002-20240216-223720--3d894024-d2f4-4736-a1f5-75d4a2d4f27c.jpg
MALUKU UTARA,HALMAHERA UTARA,TOBELO SELATAN,KUPA KUPA,TPS 003,213,217,13,177,33,https://sirekap-obj-formc.kpu.go.id/567d/pemilu/ppwp/82/03/06/20/01/8203062001003-20240216-190409--07d694ea-610c-48c0-baf5-b7b75c3cfbd4.jpg
MALUKU UTARA,HALMAHERA UTARA,TOBELO SELATAN,LELEOTO,TPS 004,223,225,5,144,69,https://sirekap-obj-formc.kpu.go.id/2011/pemilu/ppwp/82/03/06/20/06/8203062006004-20240214-203613--d1a94c71-8fbe-49c0-ab33-887a1a2a159f.jpg
MALUKU UTARA,HALMAHERA UTARA,TOBELO SELATAN,PACA,TPS 001,246,258,111,111,101,https://sirekap-obj-formc.kpu.go.id/02f1/pemilu/ppwp/82/03/06/20/05/8203062005001-20240216-190425--d31299b0-8451-434e-980e-99fe2065afd3.jpg
MALUKU UTARA,HALMAHERA UTARA,TOBELO TENGAH,KALI UPA,TPS 001,226,229,3,114,105,https://sirekap-obj-formc.kpu.go.id/d20e/pemilu/ppwp/82/03/11/20/06/8203112006001-20240215-215912--33d13b9d-1bce-4045-8e65-731e18b05a02.jpg
MALUKU UTARA,HALMAHERA UTARA,TOBELO TENGAH,UPA,TPS 001,229,230,0,0,0,https://sirekap-obj-formc.kpu.go.id/8bea/pemilu/ppwp/82/03/11/20/01/8203112001001-20240216-160414--77aaa19b-fd80-41dd-8a46-c99b83f9163f.jpg
MALUKU UTARA,HALMAHERA UTARA,TOBELO UTARA,GORUA,TPS 001,190,192,68,115,5,https://sirekap-obj-formc.kpu.go.id/3460/pemilu/ppwp/82/03/10/20/01/8203102001001-20240216-214356--34239ecc-60c6-4106-a5a4-974e57d35a4e.jpg
MALUKU UTARA,HALMAHERA UTARA,TOBELO UTARA,POPILO,TPS 005,182,184,63,115,3,https://sirekap-obj-formc.kpu.go.id/84ec/pemilu/ppwp/82/03/10/20/02/8203102002005-20240216-115452--e239d9b7-7fb7-4d6e-88b2-9b2a15180c8a.jpg
MALUKU UTARA,KEPULAUAN SULA,SANANA UTARA,BAJO,TPS 004,225,231,61,156,9,https://sirekap-obj-formc.kpu.go.id/705e/pemilu/ppwp/82/05/18/20/02/8205182002004-20240216-025540--a5bc141b-9ecf-4d85-a4cd-63a39276cfdf.jpg
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE SELATAN,BASTIONG KARANCE,TPS 007,0,209,85,107,13,https://sirekap-obj-formc.kpu.go.id/d8ef/pemilu/ppwp/82/71/02/10/24/8271021024007-20240214-185506--0712282f-0452-429b-9a07-5fca418589e6.jpg
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE SELATAN,BASTIONG TALANGAME,TPS 010,,,57,99,9,https://sirekap-obj-formc.kpu.go.id/07ea/pemilu/ppwp/82/71/02/10/06/8271021006010-20240214-210902--bea1f93a-4a93-4a5a-9514-c692c3697942.jpg
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE SELATAN,JATI PERUMNAS,TPS 008,210,210,90,160,60,https://sirekap-obj-formc.kpu.go.id/c327/pemilu/ppwp/82/71/02/10/22/8271021022008-20240214-210853--497130fb-cd91-4ffc-9e1c-b8bffa10326b.jpg
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE SELATAN,KAYU MERAH,TPS 002,149,152,1,1,1,https://sirekap-obj-formc.kpu.go.id/a27e/pemilu/ppwp/82/71/02/10/05/8271021005002-20240215-204147--9678a313-85c5-4b78-a861-8c646d89a08a.jpg
