Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
P A P U A,BIAK NUMFOR,AIMANDO PADAIDO,KARABAI,TPS 001,39,39,800,15,16,https://sirekap-obj-formc.kpu.go.id/06a4/pemilu/ppwp/91/06/19/20/06/9106192006001-20240215-234027--9928a659-5ce6-492e-bf15-c24b4ee2af45.jpg
P A P U A,BIAK NUMFOR,BIAK KOTA,FANDOI,TPS 011,172,178,0,0,0,https://sirekap-obj-formc.kpu.go.id/0ed5/pemilu/ppwp/91/06/01/10/05/9106011005011-20240216-104426--3e2ee9e7-3b99-45cc-9721-54c865ab0f08.jpg
P A P U A,BIAK NUMFOR,BIAK UTARA,ROSAYENDI,TPS 001,164,164,4,48,64,https://sirekap-obj-formc.kpu.go.id/ad01/pemilu/ppwp/91/06/02/20/13/9106022013001-20240214-202002--1edd7e7c-e3f1-4dad-a9a6-c811ba6fa53b.jpg
P A P U A,BIAK NUMFOR,BIAK UTARA,SAUKOBYE,TPS 002,949,157,8,104,37,https://sirekap-obj-formc.kpu.go.id/ba76/pemilu/ppwp/91/06/02/20/08/9106022008002-20240215-095142--601fe55e-505f-4431-b260-05fb2751afde.jpg
P A P U A,BIAK NUMFOR,NUMFOR BARAT,POMDORI SUP,TPS 001,91,94,10,847,104,https://sirekap-obj-formc.kpu.go.id/d6ce/pemilu/ppwp/91/06/04/20/22/9106042022001-20240215-221346--29fc9751-cd5e-4531-9ff8-644c585e9464.jpg
P A P U A,BIAK NUMFOR,ORIDEK,ANGGOPI,TPS 002,153,214,20,75,53,https://sirekap-obj-formc.kpu.go.id/bb44/pemilu/ppwp/91/06/20/20/06/9106202006002-20240216-052000--5839da19-f007-4a4b-986c-92d29d59400a.jpg
P A P U A,BIAK NUMFOR,ORIDEK,YENSAMA,TPS 001,109,110,3,42,24,https://sirekap-obj-formc.kpu.go.id/535b/pemilu/ppwp/91/06/20/20/14/9106202014001-20240215-133414--be194556-ffad-48e0-8f16-2faf1e447c97.jpg
P A P U A,BIAK NUMFOR,SAMOFA,BRAMBAKEN,TPS 016,168,169,0,128,32,https://sirekap-obj-formc.kpu.go.id/d9ec/pemilu/ppwp/91/06/12/10/02/9106121002016-20240215-131232--d6ab6bde-9fb1-4753-874a-a37e51fcdb71.jpg
P A P U A,BIAK NUMFOR,SAMOFA,KAMORFUAR,TPS 002,228,237,17,157,55,https://sirekap-obj-formc.kpu.go.id/e568/pemilu/ppwp/91/06/12/20/15/9106122015002-20240215-100619--9628305c-1a33-4274-9fc8-d1095255ddae.jpg
P A P U A,BIAK NUMFOR,SAMOFA,KARANG MULIA,TPS 002,158,162,11,122,5,https://sirekap-obj-formc.kpu.go.id/8080/pemilu/ppwp/91/06/12/10/10/9106121010002-20240214-193335--bcecfa10-0420-4da5-ae3f-3f40f41f27b2.jpg
P A P U A,BIAK NUMFOR,SWANDIWE,ANDOINA,TPS 001,89,89,2,877,49,https://sirekap-obj-formc.kpu.go.id/e579/pemilu/ppwp/91/06/15/20/14/9106152014001-20240218-150857--c1e02327-5530-465b-adf7-57c74d93aa06.jpg
P A P U A,BIAK NUMFOR,SWANDIWE,MARDORI,TPS 001,181,184,47,49,115,https://sirekap-obj-formc.kpu.go.id/f265/pemilu/ppwp/91/06/15/20/04/9106152004001-20240216-071333--23e29290-6bee-477d-bc1b-0ca3f8c4987b.jpg
P A P U A,BIAK NUMFOR,SWANDIWE,NAPDORI,TPS 002,179,179,0,22,158,https://sirekap-obj-formc.kpu.go.id/c9bf/pemilu/ppwp/91/06/15/20/08/9106152008002-20240216-055152--f0a2f482-a818-4bdd-8b12-981c530a4826.jpg
