Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,GUNUNG LENGKUAS,TPS 013,241,244,58,151,31,https://sirekap-obj-formc.kpu.go.id/6fb3/pemilu/ppwp/21/01/06/10/10/2101061010013-20240216-235129--b485106d-d6a4-435a-a65e-b4f9aa22f649.jpg
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 027,216,222,44,152,29,https://sirekap-obj-formc.kpu.go.id/1c3e/pemilu/ppwp/21/01/06/10/08/2101061008027-20240215-175746--178f031a-db7c-49df-8792-7fe780e8382a.jpg
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 010,246,249,79,667,7,https://sirekap-obj-formc.kpu.go.id/e05c/pemilu/ppwp/21/01/06/10/09/2101061009010-20240216-231128--0c000c6c-2b2b-4896-a02e-a61ff1d875bf.jpg
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 023,235,249,41,155,139,https://sirekap-obj-formc.kpu.go.id/76c8/pemilu/ppwp/21/01/06/10/09/2101061009023-20240215-204515--f6f4536c-cffe-4ddd-91c4-cee6b25a4bf7.jpg
KEPULAUAN RIAU,BINTAN,BINTAN UTARA,TANJUNG UBAN SELATAN,TPS 016,173,174,42,155,16,https://sirekap-obj-formc.kpu.go.id/1c89/pemilu/ppwp/21/01/07/10/03/2101071003016-20240216-160808--e3bd35ae-3d80-4861-9f77-cf310dd2ed96.jpg
KEPULAUAN RIAU,BINTAN,BINTAN UTARA,TANJUNG UBAN TIMUR,TPS 005,240,242,53,141,36,https://sirekap-obj-formc.kpu.go.id/bbd2/pemilu/ppwp/21/01/07/10/11/2101071011005-20240214-215332--e470605e-4f23-4fd5-b236-4b96b2487fb4.jpg
KEPULAUAN RIAU,BINTAN,SERI KUALA LOBAM,KUALA SEMPANG,TPS 001,118,219,85,118,15,https://sirekap-obj-formc.kpu.go.id/ff15/pemilu/ppwp/21/01/15/20/04/2101152004001-20240216-142441--cb65a360-0698-4bbe-821b-17cbec798076.jpg
KEPULAUAN RIAU,BINTAN,SERI KUALA LOBAM,KUALA SEMPANG,TPS 002,190,0,44,112,31,https://sirekap-obj-formc.kpu.go.id/86e0/pemilu/ppwp/21/01/15/20/04/2101152004002-20240216-145030--1f2aebac-233a-45a8-942d-cd4cbacb66f1.jpg
KEPULAUAN RIAU,BINTAN,SERI KUALA LOBAM,TANJUNG PERMAI,TPS 006,238,241,108,106,25,https://sirekap-obj-formc.kpu.go.id/0c08/pemilu/ppwp/21/01/15/10/05/2101151005006-20240216-085952--aea34f06-fb1c-47f0-a06b-a1de26f3e24e.jpg
KEPULAUAN RIAU,BINTAN,SERI KUALA LOBAM,TELUK SASAH,TPS 004,243,251,1,148,40,https://sirekap-obj-formc.kpu.go.id/35af/pemilu/ppwp/21/01/15/20/02/2101152002004-20240216-145650--ad0a22e4-470f-48d9-b4ab-9dcd1118effa.jpg
KEPULAUAN RIAU,KARIMUN,BELAT,PENARAH,TPS 002,202,213,63,144,25,https://sirekap-obj-formc.kpu.go.id/bff3/pemilu/ppwp/21/02/12/20/03/2102122003002-20240214-202836--bfc9596e-dbed-48a9-8e95-a1c09cb51981.jpg
KEPULAUAN RIAU,KARIMUN,BURU,BURU,TPS 005,163,165,10,78,15,https://sirekap-obj-formc.kpu.go.id/fcbf/pemilu/ppwp/21/02/06/10/01/2102061001005-20240215-032038--0a541857-0d9f-4de7-b32d-a5df0f56aea1.jpg
KEPULAUAN RIAU,KARIMUN,KUNDUR,SEBESI,TPS 003,170,178,54,106,21,https://sirekap-obj-formc.kpu.go.id/5fb1/pemilu/ppwp/21/02/02/20/04/2102022004003-20240215-214701--a4dc84ed-511c-423b-acb4-aad93cd34996.jpg
KEPULAUAN RIAU,KARIMUN,MERAL,BARAN TIMUR,TPS 012,209,210,69,118,25,https://sirekap-obj-formc.kpu.go.id/a6ae/pemilu/ppwp/21/02/04/10/06/2102041006012-20240215-011420--e3af07f0-a77a-4dfa-8aa8-b522aa84862d.jpg
KEPULAUAN RIAU,KARIMUN,MERAL,SUNGAI PASIR,TPS 013,179,184,43,104,132,https://sirekap-obj-formc.kpu.go.id/c530/pemilu/ppwp/21/02/04/10/07/2102041007013-20240216-091958--f914a985-25e7-4310-b92a-33e31682260d.jpg
KEPULAUAN RIAU,KARIMUN,MERAL,SUNGAI PASIR,TPS 028,224,226,64,130,31,https://sirekap-obj-formc.kpu.go.id/b52d/pemilu/ppwp/21/02/04/10/07/2102041007028-20240215-055448--4044993a-a673-46ba-930c-faa32c8ba8cb.jpg
KEPULAUAN RIAU,KARIMUN,MERAL BARAT,PANGKE BARAT,TPS 008,205,208,4,137,24,https://sirekap-obj-formc.kpu.go.id/1354/pemilu/ppwp/21/02/10/20/04/2102102004008-20240216-174901--3a930604-9be6-4972-9ad5-37836a4f43d7.jpg
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,JEMAJA BARAT,SUNGGAK,TPS 001,202,205,72,818,12,https://sirekap-obj-formc.kpu.go.id/3ac9/pemilu/ppwp/21/05/09/20/03/2105092003001-20240216-144549--83582887-cfb7-48a4-be81-b5b18fc33431.jpg
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,KUTE SIANTAN,TELUK BAYUR,TPS 002,88,89,34,38,6,https://sirekap-obj-formc.kpu.go.id/178b/pemilu/ppwp/21/05/10/20/05/2105102005002-20240216-133725--6206e36c-0d88-4856-81b3-671e19ce3edf.jpg
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,PALMATAK,LADAN,TPS 006,241,276,63,161,12,https://sirekap-obj-formc.kpu.go.id/f4da/pemilu/ppwp/21/05/02/20/03/2105022003006-20240216-182027--930da6e6-ef78-4875-a54c-199528d8b509.jpg
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,SIANTAN,TAREMPA BARAT DAYA,TPS 001,173,181,59,96,19,https://sirekap-obj-formc.kpu.go.id/7ab2/pemilu/ppwp/21/05/01/20/07/2105012007001-20240216-013950--131dedfc-af32-4c99-bfd6-a163b92ea882.jpg
KEPULAUAN RIAU,KOTA BATAM,BATAM KOTA,BALOI PERMAI,TPS 014,693,194,55,45,42,https://sirekap-obj-formc.kpu.go.id/dcbe/pemilu/ppwp/21/71/10/10/01/2171101001014-20240214-233403--b1951636-ac81-4f26-a6c0-ee384649da71.jpg
