Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SULAWESI BARAT,MAJENE,BANGGAE,BARU,TPS 004,204,207,60,138,9,https://sirekap-obj-formc.kpu.go.id/504e/pemilu/ppwp/76/05/01/10/03/7605011003004-20240215-101823--a3cf2717-dce1-41f2-8140-a68f6aacc0dc.jpg
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,TPS 006,273,276,114,158,3,https://sirekap-obj-formc.kpu.go.id/da68/pemilu/ppwp/76/05/01/20/12/7605012012006-20240216-210110--d67f1b50-ecc3-4657-8de9-a0d62df8a132.jpg
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,TPS 004,143,144,68,68,6,https://sirekap-obj-formc.kpu.go.id/e316/pemilu/ppwp/76/05/02/20/03/7605022003004-20240216-154329--82a3e268-e9d4-4b26-b324-ff06f83625a4.jpg
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,TPS 007,238,240,55,159,14,https://sirekap-obj-formc.kpu.go.id/edb0/pemilu/ppwp/76/05/02/20/08/7605022008007-20240216-091952--ef261aca-b4a6-4233-9fa0-f77229ede194.jpg
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,TPS 001,117,218,105,108,4,https://sirekap-obj-formc.kpu.go.id/a61b/pemilu/ppwp/76/05/03/20/22/7605032022001-20240215-063435--f260511c-d1bb-4f83-bd63-43dfdaa6bdb6.jpg
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,TPS 003,226,229,81,37,8,https://sirekap-obj-formc.kpu.go.id/f82a/pemilu/ppwp/76/05/03/20/25/7605032025003-20240215-115954--becc9a97-1502-431f-8c5a-614b32c6c1ef.jpg
SULAWESI BARAT,MAMASA,BALLA,BALLA BARAT,TPS 003,187,187,90,154,33,https://sirekap-obj-formc.kpu.go.id/00a3/pemilu/ppwp/76/03/12/20/02/7603122002003-20240216-152228--a4d8393d-44a5-45ad-8526-c861209b8221.jpg
SULAWESI BARAT,MAMASA,BAMBANG,SALUTABANG,TPS 001,137,137,1,98,78,https://sirekap-obj-formc.kpu.go.id/abb7/pemilu/ppwp/76/03/11/20/19/7603112019001-20240214-125917--4fbd031c-d7ad-4b63-857f-0f5c732095da.jpg
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,TPS 001,166,166,0,125,71,https://sirekap-obj-formc.kpu.go.id/baa0/pemilu/ppwp/76/03/11/20/09/7603112009001-20240214-124439--465a8fbf-2cf5-460c-b309-c35d60e146bd.jpg
SULAWESI BARAT,MAMASA,MAMASA,TAUPE,TPS 002,207,212,0,0,0,https://sirekap-obj-formc.kpu.go.id/92e5/pemilu/ppwp/76/03/03/20/06/7603032006002-20240217-111652--d75e031c-a56c-4a3c-8805-7a8f26ce837a.jpg
SULAWESI BARAT,MAMASA,MAMASA,TONDOK BAKARU,TPS 001,215,217,2,125,8,https://sirekap-obj-formc.kpu.go.id/1710/pemilu/ppwp/76/03/03/20/08/7603032008001-20240216-122249--f058ec9a-8c76-4130-8f15-0612d43e8277.jpg
SULAWESI BARAT,MAMASA,MESSAWA,MESSAWA,TPS 003,170,171,20,126,29,https://sirekap-obj-formc.kpu.go.id/7dad/pemilu/ppwp/76/03/07/10/01/7603071001003-20240215-070040--59ca84ff-72d5-457c-bfa3-7d809ea0047d.jpg
SULAWESI BARAT,MAMASA,PANA,SAPAN,TPS 002,174,177,1,440,33,https://sirekap-obj-formc.kpu.go.id/ff1b/pemilu/ppwp/76/03/04/20/06/7603042006002-20240215-075546--480a8449-567a-40e8-95aa-d5d19b16175d.jpg
SULAWESI BARAT,MAMASA,TANDUK KALUA,TAMALANTIK,TPS 003,143,145,7,91,44,https://sirekap-obj-formc.kpu.go.id/7869/pemilu/ppwp/76/03/09/20/07/7603092007003-20240214-203118--65af468d-0ebe-4262-9a81-55dbfdf99591.jpg
SULAWESI BARAT,MAMASA,TAWALIAN,TAWALIAN,TPS 006,119,124,5,48,16,https://sirekap-obj-formc.kpu.go.id/57db/pemilu/ppwp/76/03/14/10/01/7603141001006-20240215-003406--172a904f-0b8f-43e0-9642-b893b3a3fce0.jpg
SULAWESI BARAT,MAMUJU,BONEHAU,BANUADA,TPS 002,220,220,4,62,54,https://sirekap-obj-formc.kpu.go.id/0ffb/pemilu/ppwp/76/02/15/20/09/7602152009002-20240216-142438--5b3ee6a9-658a-4d92-bdf5-8cfcc62b1751.jpg
SULAWESI BARAT,MAMUJU,BONEHAU,MAPPU,TPS 002,90,92,1,76,11,https://sirekap-obj-formc.kpu.go.id/017c/pemilu/ppwp/76/02/15/20/06/7602152006002-20240216-141535--9dd17ae2-be7b-4f06-8177-6d6b1a2795dc.jpg
SULAWESI BARAT,MAMUJU,KALUKKU,BEBANGA,TPS 001,237,241,45,178,10,https://sirekap-obj-formc.kpu.go.id/5836/pemilu/ppwp/76/02/03/10/02/7602031002001-20240217-064723--87bf0679-fe88-4d21-8dd0-35fa60baf41e.jpg
SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU,TPS 011,221,269,43,181,14,https://sirekap-obj-formc.kpu.go.id/ee08/pemilu/ppwp/76/02/03/10/03/7602031003011-20240216-143509--c042ac47-7d3c-49e9-9be8-a56dff3db9f4.jpg
SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI,TPS 017,230,234,28,183,18,https://sirekap-obj-formc.kpu.go.id/eb38/pemilu/ppwp/76/02/03/10/01/7602031001017-20240215-081008--7b61cb67-a18f-4699-a10e-b478c2c6362a.jpg
SULAWESI BARAT,MAMUJU,KALUMPANG,LIMBONG,TPS 005,186,190,0,409,7,https://sirekap-obj-formc.kpu.go.id/cc56/pemilu/ppwp/76/02/04/20/12/7602042012005-20240216-125852--e42cfcc0-dcac-4137-8d84-c260eb85c21e.jpg
SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,TPS 002,258,260,144,125,18,https://sirekap-obj-formc.kpu.go.id/2dcb/pemilu/ppwp/76/02/01/10/12/7602011012002-20240215-105401--5d878447-2231-4aa5-92f1-bab73702595f.jpg
