Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SULAWESI SELATAN,BANTAENG,BANTAENG,LEMBANG,TPS 010,234,237,87,41,6,https://sirekap-obj-formc.kpu.go.id/46ec/pemilu/ppwp/73/03/02/10/05/7303021005010-20240216-051231--08fb0803-4259-40bb-92bd-aba6e656204f.jpg
SULAWESI SELATAN,BANTAENG,BANTAENG,ONTO,TPS 008,145,162,26,115,5,https://sirekap-obj-formc.kpu.go.id/df69/pemilu/ppwp/73/03/02/10/08/7303021008008-20240216-092512--29bef46c-e252-49ff-a074-c922fef323b8.jpg
SULAWESI SELATAN,BANTAENG,BANTAENG,TAPPANJENG,TPS 003,115,116,84,109,22,https://sirekap-obj-formc.kpu.go.id/ce14/pemilu/ppwp/73/03/02/10/01/7303021001003-20240215-062237--e77d4619-ea00-4429-a511-f2d8fa5dbc28.jpg
SULAWESI SELATAN,BANTAENG,BISSAPPU,BONTO SALLUANG,TPS 001,167,168,46,113,9,https://sirekap-obj-formc.kpu.go.id/0722/pemilu/ppwp/73/03/01/20/12/7303012012001-20240216-150753--4ee855d7-78ca-4564-ac7a-56f99923c3cb.jpg
SULAWESI SELATAN,BANTAENG,GANTARANG KEKE,BAJIMINASA,TPS 008,171,193,76,52,3,https://sirekap-obj-formc.kpu.go.id/647d/pemilu/ppwp/73/03/07/20/04/7303072004008-20240216-135911--c712434f-60c3-4e59-9c37-1c8bf644dcb1.jpg
SULAWESI SELATAN,BANTAENG,GANTARANG KEKE,BAJIMINASA,TPS 009,0,0,71,94,7,https://sirekap-obj-formc.kpu.go.id/80ac/pemilu/ppwp/73/03/07/20/04/7303072004009-20240214-191959--98f9eec4-71d0-4fdc-bb0a-7e76c673cb04.jpg
SULAWESI SELATAN,BANTAENG,TOMPO BULU,BALUMBUNG,TPS 001,231,247,89,147,4,https://sirekap-obj-formc.kpu.go.id/72b9/pemilu/ppwp/73/03/04/20/11/7303042011001-20240216-185010--df0915a9-a4b9-44e5-b068-37cadb3ad36f.jpg
SULAWESI SELATAN,BANTAENG,TOMPO BULU,LEMBANG GANTARANG KEKE,TPS 001,241,250,137,94,9,https://sirekap-obj-formc.kpu.go.id/f850/pemilu/ppwp/73/03/04/10/01/7303041001001-20240216-140802--9810660e-34a1-4470-8cf8-3a128a22381a.jpg
SULAWESI SELATAN,BANTAENG,TOMPO BULU,LEMBANG GANTARANG KEKE,TPS 006,235,249,107,124,14,https://sirekap-obj-formc.kpu.go.id/fe19/pemilu/ppwp/73/03/04/10/01/7303041001006-20240216-083525--4573a83e-ddbe-446b-844f-1bfadfbbe01d.jpg
SULAWESI SELATAN,BANTAENG,TOMPO BULU,PATTALLASSANG,TPS 006,237,252,110,112,0,https://sirekap-obj-formc.kpu.go.id/ba1d/pemilu/ppwp/73/03/04/20/08/7303042008006-20240216-142449--243c194b-d393-47bb-a3ab-691e52846f59.jpg
