Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SULAWESI TENGGARA,BOMBANA,POLEANG TIMUR,BIRU,TPS 003,218,220,108,109,3,https://sirekap-obj-formc.kpu.go.id/cb8c/pemilu/ppwp/74/06/02/20/04/7406022004003-20240216-172316--6056db06-cdf9-48da-a99a-c8ef7e759686.jpg
SULAWESI TENGGARA,BOMBANA,POLEANG TIMUR,TEPPOE,TPS 007,197,198,57,126,44,https://sirekap-obj-formc.kpu.go.id/821c/pemilu/ppwp/74/06/02/20/03/7406022003007-20240217-052606--d4fd813b-7889-492a-9823-ad8b54349f42.jpg
SULAWESI TENGGARA,BUTON,PASARWAJO,HOLIMOMBO JAYA,TPS 001,226,228,30,141,49,https://sirekap-obj-formc.kpu.go.id/8a68/pemilu/ppwp/74/04/11/20/17/7404112017001-20240217-062214--4f7e311a-c4c3-4477-b719-966b520fd461.jpg
SULAWESI TENGGARA,BUTON,SIOTAPINA,MANURU,TPS 003,196,198,7,135,55,https://sirekap-obj-formc.kpu.go.id/99f5/pemilu/ppwp/74/04/27/20/09/7404272009003-20240216-175808--72da1766-ce8b-47cb-970f-4442d92ae08a.jpg
SULAWESI TENGGARA,BUTON SELATAN,SAMPOLAWA,BAHARI TIGA,TPS 001,208,210,23,173,11,https://sirekap-obj-formc.kpu.go.id/47fc/pemilu/ppwp/74/15/02/20/14/7415022014001-20240216-134821--5038d42f-578e-4323-bf75-7c3bbb0a5b0b.jpg
SULAWESI TENGGARA,BUTON TENGAH,MAWASANGKA TENGAH,GUNDU GUNDU,TPS 002,152,152,49,99,9,https://sirekap-obj-formc.kpu.go.id/939a/pemilu/ppwp/74/14/03/20/09/7414032009002-20240216-091922--9b7d72ef-abe9-4d5c-ae91-cc67a5b6eb5d.jpg
SULAWESI TENGGARA,BUTON TENGAH,MAWASANGKA TENGAH,MORIKANA,TPS 002,164,164,46,112,3,https://sirekap-obj-formc.kpu.go.id/d488/pemilu/ppwp/74/14/03/20/01/7414032001002-20240216-074838--982b1a33-c9df-4604-b6d2-07f5fd601932.jpg
SULAWESI TENGGARA,BUTON UTARA,KULISUSU BARAT,LABULANDA,TPS 001,0,0,20,158,18,https://sirekap-obj-formc.kpu.go.id/7054/pemilu/ppwp/74/10/04/20/14/7410042014001-20240214-211649--67d17f87-ec03-4e98-930b-4412efb52b68.jpg
SULAWESI TENGGARA,BUTON UTARA,KULISUSU BARAT,LAMBALE,TPS 002,230,236,25,190,14,https://sirekap-obj-formc.kpu.go.id/7163/pemilu/ppwp/74/10/04/20/10/7410042010002-20240216-150214--553f5990-3bf8-48ee-958f-e6d487fc67e8.jpg
SULAWESI TENGGARA,BUTON UTARA,KULISUSU UTARA,PEBAOA,TPS 003,154,157,40,112,7,https://sirekap-obj-formc.kpu.go.id/0ddc/pemilu/ppwp/74/10/05/20/05/7410052005003-20240215-005253--8864a620-8f2c-45ba-8249-b67ef3f3453d.jpg
