Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SUMATERA SELATAN,BANYUASIN,AIR KUMBANG,CINTA MANIS BARU,TPS 004,734,235,50,185,49,https://sirekap-obj-formc.kpu.go.id/0d93/pemilu/ppwp/16/07/19/20/01/1607192001004-20240219-092706--027b7959-1cf1-4755-a914-a88ff5c393b3.jpg
SUMATERA SELATAN,BANYUASIN,AIR KUMBANG,NUSA MAKMUR,TPS 007,132,132,36,137,19,https://sirekap-obj-formc.kpu.go.id/916f/pemilu/ppwp/16/07/19/20/04/1607192004007-20240216-202746--5d533cb5-a440-4988-80bd-2a367a0eac1d.jpg
SUMATERA SELATAN,BANYUASIN,AIR KUMBANG,NUSA MAKMUR,TPS 011,180,188,0,0,0,https://sirekap-obj-formc.kpu.go.id/7225/pemilu/ppwp/16/07/19/20/04/1607192004011-20240216-150422--4ae91048-93ac-4b6b-b6df-76ce2dd039ff.jpg
SUMATERA SELATAN,BANYUASIN,AIR KUMBANG,TIRTA MAKMUR,TPS 003,188,188,24,133,32,https://sirekap-obj-formc.kpu.go.id/f701/pemilu/ppwp/16/07/19/20/11/1607192011003-20240214-141222--3e06b035-0455-4812-af99-8c94b605a4c1.jpg
SUMATERA SELATAN,BANYUASIN,AIR SALEK,UPANG,TPS 008,0,0,12,131,36,https://sirekap-obj-formc.kpu.go.id/8c20/pemilu/ppwp/16/07/14/20/13/1607142013008-20240216-140506--8154dded-7972-4df2-9d81-58429f0d1e95.jpg
SUMATERA SELATAN,BANYUASIN,BANYUASIN I,DUREN IJO,TPS 003,210,213,171,11,22,https://sirekap-obj-formc.kpu.go.id/b687/pemilu/ppwp/16/07/01/20/28/1607012028003-20240216-112023--4fe809f7-c682-4f62-baf9-f5de01d206e8.jpg
SUMATERA SELATAN,BANYUASIN,BANYUASIN I,MERAH MATA,TPS 019,0,0,4,88,9,https://sirekap-obj-formc.kpu.go.id/692b/pemilu/ppwp/16/07/01/20/03/1607012003019-20240214-155225--801adbb2-9c71-471d-9848-80fe5864f942.jpg
SUMATERA SELATAN,BANYUASIN,BANYUASIN I,SUNGAI REBO,TPS 020,193,196,77,142,14,https://sirekap-obj-formc.kpu.go.id/f78e/pemilu/ppwp/16/07/01/20/01/1607012001020-20240214-222757--e4cc0f4b-47a9-4514-b1cf-b732ffba24a1.jpg
SUMATERA SELATAN,BANYUASIN,BANYUASIN I,SUNGAI REBO,TPS 022,224,231,34,183,11,https://sirekap-obj-formc.kpu.go.id/38c2/pemilu/ppwp/16/07/01/20/01/1607012001022-20240214-155723--8995b85b-3aa1-42c9-bc05-fa566a48755f.jpg
SUMATERA SELATAN,BANYUASIN,BANYUASIN I,TIRTO SARI,TPS 005,216,222,111,181,24,https://sirekap-obj-formc.kpu.go.id/578e/pemilu/ppwp/16/07/01/20/12/1607012012005-20240216-180248--1647a086-b334-4047-a56c-983c52c2244a.jpg
