Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SUMATERA UTARA,ASAHAN,AEK KUASAN,SENGON SARI,TPS 003,232,241,64,44,24,https://sirekap-obj-formc.kpu.go.id/0b28/pemilu/ppwp/12/09/18/20/09/1209182009003-20240214-191002--77ac0174-6d74-4537-adf0-fef5fd95f91f.jpg
SUMATERA UTARA,ASAHAN,AEK LEDONG,LEDONG BARAT,TPS 004,223,225,84,125,9,https://sirekap-obj-formc.kpu.go.id/11fb/pemilu/ppwp/12/09/32/20/04/1209322004004-20240214-230433--4418e84c-788b-42e3-877e-a668ddcee7c9.jpg
SUMATERA UTARA,ASAHAN,AEK LEDONG,LEDONG BARAT,TPS 008,223,229,57,125,70,https://sirekap-obj-formc.kpu.go.id/1d41/pemilu/ppwp/12/09/32/20/04/1209322004008-20240215-013339--36f931e9-fc54-44d1-aae6-c487e2821f0b.jpg
SUMATERA UTARA,ASAHAN,AEK LEDONG,PADANG SIPIROK,TPS 002,161,166,25,107,33,https://sirekap-obj-formc.kpu.go.id/8ef3/pemilu/ppwp/12/09/32/20/07/1209322007002-20240214-192048--5a045ab7-5dca-4df7-b6c4-3326d1acab67.jpg
SUMATERA UTARA,ASAHAN,AEK SONGSONGAN,AEK SONGSONGAN,TPS 005,177,180,101,52,14,https://sirekap-obj-formc.kpu.go.id/71a9/pemilu/ppwp/12/09/21/20/01/1209212001005-20240214-190530--94ea7737-6f2e-4a5d-959a-e766c7db8e9f.jpg
SUMATERA UTARA,ASAHAN,AIR JOMAN,AIR JOMAN,TPS 004,163,165,6,70,7,https://sirekap-obj-formc.kpu.go.id/de9e/pemilu/ppwp/12/09/09/20/02/1209092002004-20240217-170214--d0d553b4-782a-4122-b3eb-d6e8a297aae6.jpg
SUMATERA UTARA,ASAHAN,BUNTU PANE,SEI SILAU TIMUR,TPS 010,143,939,343,344,444,https://sirekap-obj-formc.kpu.go.id/c050/pemilu/ppwp/12/09/16/20/07/1209162007010-20240218-133111--8d5eb6d5-9d6f-428f-8ee6-1d8a62d2a9ef.jpg
SUMATERA UTARA,ASAHAN,KOTA KISARAN BARAT,BUNUT BARAT,TPS 014,188,191,62,211,15,https://sirekap-obj-formc.kpu.go.id/a2b0/pemilu/ppwp/12/09/19/10/02/1209191002014-20240215-031303--e3e7d6d4-6a3a-48d4-8096-f5892e390ee9.jpg
SUMATERA UTARA,ASAHAN,KOTA KISARAN BARAT,DADIMULYO,TPS 004,189,193,56,207,16,https://sirekap-obj-formc.kpu.go.id/6bf8/pemilu/ppwp/12/09/19/10/03/1209191003004-20240214-215051--40bd1264-e274-4739-aca3-a4c742ba0796.jpg
SUMATERA UTARA,ASAHAN,KOTA KISARAN BARAT,KISARAN BARU,TPS 008,361,163,93,54,40,https://sirekap-obj-formc.kpu.go.id/9f20/pemilu/ppwp/12/09/19/10/05/1209191005008-20240214-155656--065850d8-6dd3-434a-895e-79858e6f5952.jpg
