Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,BANGUNTAPAN,BATURETNO,TPS 001,246,0,26,125,44,https://sirekap-obj-formc.kpu.go.id/740a/pemilu/ppwp/34/02/12/20/01/3402122001001-20240215-070313--dbcf3249-b890-4587-a8ab-f78bda98077f.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,BANGUNTAPAN,JAMBIDAN,TPS 013,274,277,72,126,73,https://sirekap-obj-formc.kpu.go.id/1728/pemilu/ppwp/34/02/12/20/05/3402122005013-20240215-090026--6f7e3aef-81cd-4d55-becc-3d8dd3b57173.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,DLINGO,MUNTUK,TPS 004,215,233,23,121,85,https://sirekap-obj-formc.kpu.go.id/e3ef/pemilu/ppwp/34/02/11/20/02/3402112002004-20240214-141007--d5c85e52-7360-4402-b950-5198614066fc.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,IMOGIRI,KARANGTENGAH,TPS 004,213,226,117,54,71,https://sirekap-obj-formc.kpu.go.id/5a23/pemilu/ppwp/34/02/10/20/05/3402102005004-20240216-232957--259aaebe-4405-4a03-bf6b-4b7d4f34c523.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,IMOGIRI,SELOPAMIORO,TPS 006,205,209,0,0,0,https://sirekap-obj-formc.kpu.go.id/053c/pemilu/ppwp/34/02/10/20/01/3402102001006-20240216-122245--13c5bb7c-c5c4-4929-9dfe-7911895590b3.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,IMOGIRI,SELOPAMIORO,TPS 023,201,206,0,0,0,https://sirekap-obj-formc.kpu.go.id/4e67/pemilu/ppwp/34/02/10/20/01/3402102001023-20240216-182101--85bb620e-6dc7-44c5-881e-1e7f45b84ae8.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,IMOGIRI,SELOPAMIORO,TPS 036,214,218,75,125,52,https://sirekap-obj-formc.kpu.go.id/bde1/pemilu/ppwp/34/02/10/20/01/3402102001036-20240216-191350--a8b98500-c75b-4707-9f35-0a9c0c7aa14c.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,IMOGIRI,WUKIRSARI,TPS 008,255,267,0,0,0,https://sirekap-obj-formc.kpu.go.id/5639/pemilu/ppwp/34/02/10/20/03/3402102003008-20240216-173023--ad985b64-2c37-4dff-9fb4-8772366f465e.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,IMOGIRI,WUKIRSARI,TPS 021,237,248,41,144,44,https://sirekap-obj-formc.kpu.go.id/9bb9/pemilu/ppwp/34/02/10/20/03/3402102003021-20240214-225159--a8457f9e-c3c8-409d-82ba-ef716daf4556.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,JETIS,CANDEN,TPS 026,213,220,0,0,0,https://sirekap-obj-formc.kpu.go.id/0daf/pemilu/ppwp/34/02/09/20/02/3402092002026-20240216-230808--fc7c0361-92f1-4b90-ba83-de392e07e911.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,JETIS,PATALAN,TPS 025,252,258,52,134,67,https://sirekap-obj-formc.kpu.go.id/d532/pemilu/ppwp/34/02/09/20/01/3402092001025-20240214-200050--fc04693b-3181-4cad-a2df-372f4ad92392.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,KASIHAN,TAMANTIRTO,TPS 063,0,0,63,126,51,https://sirekap-obj-formc.kpu.go.id/cdb6/pemilu/ppwp/34/02/16/20/03/3402162003063-20240214-162239--88dabd9e-e887-4f1d-9d5a-229aeccd4419.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,KRETEK,DONOTIRTO,TPS 011,232,237,110,552,406,https://sirekap-obj-formc.kpu.go.id/c28d/pemilu/ppwp/34/02/03/20/03/3402032003011-20240217-121820--a96d525b-c561-4800-9ae6-ed6102581123.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,PIYUNGAN,SRIMULYO,TPS 004,0,0,15,76,16,https://sirekap-obj-formc.kpu.go.id/6ce2/pemilu/ppwp/34/02/14/20/02/3402142002004-20240214-141048--bbd269e5-b990-482e-9660-3e73841be349.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,PLERET,WONOKROMO,TPS 023,243,251,71,156,56,https://sirekap-obj-formc.kpu.go.id/5692/pemilu/ppwp/34/02/13/20/01/3402132001023-20240215-011801--72d635e3-2bc5-4878-ab44-5ffc94c70443.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SANDEN,GADINGHARJO,TPS 006,0,0,839,34,834,https://sirekap-obj-formc.kpu.go.id/0033/pemilu/ppwp/34/02/02/20/02/3402022002006-20240215-025040--fab5b64b-eccc-4edd-8262-50088203c05d.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SANDEN,GADINGSARI,TPS 015,0,0,43,104,18,https://sirekap-obj-formc.kpu.go.id/76d9/pemilu/ppwp/34/02/02/20/01/3402022001015-20240214-223449--76cc6288-08d9-44e6-9264-82f6cb86aaaf.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SANDEN,MURTIGADING,TPS 016,228,242,65,609,54,https://sirekap-obj-formc.kpu.go.id/4b18/pemilu/ppwp/34/02/02/20/04/3402022004016-20240214-212722--21028c43-2e9e-4d47-9e6f-50725a1e6373.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SEWON,BANGUNHARJO,TPS 052,287,291,91,114,56,https://sirekap-obj-formc.kpu.go.id/8988/pemilu/ppwp/34/02/15/20/03/3402152003052-20240214-190013--9d2d67e7-2a30-4ecc-8257-3515b9cb63c1.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SEWON,PENDOWOHARJO,TPS 056,,,43,80,37,https://sirekap-obj-formc.kpu.go.id/6923/pemilu/ppwp/34/02/15/20/01/3402152001056-20240214-155816--0e5159ac-3ae6-4c99-acd7-6f2bb3185130.jpg
DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SRANDAKAN,PONCOSARI,TPS 004,198,207,47,111,47,https://sirekap-obj-formc.kpu.go.id/ce23/pemilu/ppwp/34/02/01/20/01/3402012001004-20240216-173813--8a4d56e0-edfe-43ef-b1df-eefd13eb824e.jpg
